iter	Passed	Remaining
729	6800	2515
730	6809	2505
731	6819	2496
732	6830	2487
733	6839	2478
734	6850	2470
735	6862	2461
736	6871	2451
737	6880	2442
738	6890	2433
739	6899	2424
740	6909	2415
741	6919	2405
742	6926	2395
743	6935	2386
744	6944	2376
745	6953	2367
746	6962	2358
747	6971	2348
748	6980	2339
749	6990	2330
750	6998	2320
751	7006	2310
752	7013	2300
753	7020	2290
754	7027	2280
755	7035	2270
756	7046	2261
757	7055	2252
758	7064	2243
759	7073	2233
760	7082	2224
761	7092	2215
762	7101	2205
763	7112	2196
764	7120	2187
765	7127	2177
766	7135	2167
767	7144	2158
768	7153	2148
769	7162	2139
770	7169	2129
771	7179	2120
772	7187	2110
773	7195	2100
774	7203	2091
775	7212	2081
776	7220	2072
777	7229	2062
778	7238	2053
779	7249	2044
780	7259	2035
781	7269	2026
782	7278	2017
783	7289	2008
784	7298	1999
785	7309	1990
786	7320	1981
787	7330	1972
788	7342	1963
789	7353	1954
790	7365	1946
791	7375	1936
792	7385	1927
793	7395	1918
794	7406	1909
795	7415	1900
796	7425	1891
797	7435	1882
798	7445	1873
799	7456	1864
800	7466	1855
801	7476	1845
802	7487	1837
803	7497	1827
804	7507	1818
805	7516	1809
806	7526	1800
807	7534	1790
808	7541	1780
809	7549	1770
810	7559	1761
811	7569	1752
812	7580	1743
813	7588	1733
814	7597	1724
815	7606	1715
816	7617	1706
817	7628	1697
818	7638	1688
819	7648	1678
820	7659	1669
821	7670	1661
822	7679	1651
823	7686	1641
824	7697	1632
825	7707	1623
826	7717	1614
827	7727	1605
828	7737	1596
829	7747	1586
830	7756	1577
831	7765	1568
832	7775	1558
833	7784	1549
834	7793	1540
835	7801	1530
836	7811	1521
837	7820	1511
838	7831	1502
839	7840	1493
840	7848	1483
841	7857	1474
842	7867	1465
843	7878	1456
844	7888	1447
845	7898	1437
846	7909	1428
847	7920	1419
848	7929	1410
849	7939	1401
850	7951	1392
851	7961	1382
852	7970	1373
853	7979	1364
854	7987	1354
855	7997	1345
856	8006	1335
857	8016	1326
858	8023	1317
859	8033	1307
860	8043	1298
861	8052	1289
862	8063	1280
863	8074	1271
864	8085	1261
865	8096	1252
866	8106	1243
867	8117	1234
868	8127	1225
869	8137	1215
870	8146	1206
871	8157	1197
872	8167	1188
873	8178	1179
874	8189	1169
875	8197	1160
876	8207	1151
877	8217	1141
878	8225	1132
879	8234	1122
880	8243	1113
881	8254	1104
882	8264	1095
883	8272	1085
884	8280	1076
885	8291	1066
886	8300	1057
887	8312	1048
888	8324	1039
889	8335	1030
890	8346	1021
891	8358	1011
892	8367	1002
893	8378	993
894	8387	984
895	8397	974
896	8404	965
897	8414	955
898	8423	946
899	8431	936
900	8439	927
901	8446	917
902	8454	908
903	8463	898
904	8471	889
905	8479	879
906	8486	870
907	8495	860
908	8501	851
909	8508	841
910	8516	832
911	8524	822
912	8533	813
913	8544	803
914	8553	794
915	8563	785
916	8573	776
917	8585	766
918	8594	757
919	8603	748
920	8609	738
921	8618	729
922	8628	719
923	8638	710
924	8648	701
925	8658	691
926	8667	682
927	8677	673
928	8686	663
929	8696	654
930	8706	645
931	8716	635
932	8726	626
933	8736	617
934	8746	608
